crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
LR-SC,24.9 ,30.4 ,20.9 ,2538.4 ,1518.4 ,343.3 ,484.7 ,1354.7 ,24.5 ,30.1 ,20.5 ,2499.6 ,1479.6 ,329.3 ,480.5 ,1330.6 
LR-SC,26.0 ,30.6 ,22.7 ,2576.7 ,1586.7 ,345.7 ,561.2 ,1507.8 ,26.0 ,31.2 ,22.5 ,2732.0 ,1682.0 ,454.2 ,589.3 ,1591.2 
LR-SC,26.3 ,31.5 ,22.6 ,2394.9 ,1484.9 ,351.1 ,568.4 ,1491.6 ,25.0 ,30.2 ,21.4 ,2415.0 ,1450.0 ,307.4 ,448.9 ,1312.5 
LR-SC,24.4 ,29.5 ,20.9 ,2173.1 ,1283.1 ,189.7 ,521.1 ,1383.4 ,25.3 ,30.2 ,21.9 ,2206.0 ,1332.6 ,223.0 ,524.1 ,1383.4 
LR-SC,25.4 ,29.9 ,22.0 ,2417.4 ,1464.1 ,356.6 ,514.0 ,1402.1 ,26.7 ,31.3 ,23.3 ,2372.8 ,1482.8 ,361.1 ,531.6 ,1417.8 
LR-SC,26.2 ,30.9 ,22.9 ,2436.3 ,1506.3 ,390.8 ,514.2 ,1416.7 ,26.1 ,30.8 ,22.8 ,2396.9 ,1476.9 ,382.5 ,512.7 ,1404.8 
LR-SC,25.0 ,28.8 ,22.1 ,2419.6 ,1449.6 ,365.9 ,409.5 ,1241.9 ,25.4 ,29.7 ,22.5 ,2363.6 ,1433.6 ,392.4 ,377.2 ,1182.8 
LR-SC,25.9 ,30.5 ,22.7 ,2300.6 ,1414.8 ,234.5 ,479.7 ,1320.7 ,25.1 ,29.9 ,21.7 ,2225.4 ,1338.7 ,243.6 ,446.9 ,1249.4 
LR-SC,26.8 ,31.2 ,23.6 ,2220.3 ,1390.3 ,275.9 ,546.5 ,1390.8 ,26.1 ,31.8 ,22.1 ,2648.1 ,1631.5 ,312.1 ,696.7 ,1739.2 
LR-SC,26.9 ,31.9 ,23.4 ,2405.1 ,1510.1 ,174.4 ,465.9 ,1307.4 ,25.4 ,30.2 ,22.0 ,2519.3 ,1529.3 ,266.3 ,560.6 ,1462.4 
LR-SC,26.8 ,31.8 ,23.1 ,2694.0 ,1689.0 ,385.5 ,615.9 ,1607.5 ,26.1 ,31.5 ,22.4 ,2474.9 ,1527.4 ,294.0 ,529.7 ,1418.7 
LR-SC,26.1 ,31.0 ,22.7 ,2532.8 ,1562.8 ,269.7 ,506.6 ,1408.0 ,26.5 ,31.6 ,22.9 ,2452.7 ,1526.0 ,342.5 ,513.0 ,1392.3 
LR-SC,26.3 ,30.6 ,23.2 ,2262.8 ,1402.8 ,250.1 ,575.3 ,1430.1 ,26.0 ,30.5 ,22.8 ,2364.1 ,1454.1 ,250.7 ,543.1 ,1401.8 
LR-SC,25.8 ,30.8 ,22.3 ,2377.6 ,1457.6 ,255.0 ,570.4 ,1446.6 ,26.3 ,31.5 ,22.9 ,2237.8 ,1387.8 ,262.2 ,523.4 ,1354.6 
LR-SC,25.1 ,29.7 ,22.0 ,2613.6 ,1573.6 ,1077.1 ,531.7 ,1424.0 ,25.3 ,29.9 ,22.2 ,2498.8 ,1508.8 ,1077.4 ,497.1 ,1345.8 
LR-SC,27.0 ,33.3 ,22.9 ,2779.8 ,1749.8 ,401.6 ,614.0 ,1641.6 ,26.9 ,33.0 ,22.8 ,2937.1 ,1847.1 ,400.1 ,601.6 ,1626.6 
LR-SC,25.2 ,30.6 ,21.6 ,2869.8 ,1729.8 ,439.3 ,702.1 ,1718.6 ,25.2 ,30.6 ,21.6 ,2817.3 ,1697.3 ,381.3 ,695.8 ,1694.3 
LR-SC,26.1 ,31.0 ,22.9 ,2479.2 ,1529.2 ,666.7 ,473.9 ,1363.5 ,26.0 ,31.3 ,22.6 ,2638.7 ,1625.3 ,846.9 ,539.5 ,1524.6 
LR-SC,25.5 ,30.1 ,22.5 ,2508.3 ,1523.3 ,793.4 ,472.8 ,1314.7 ,25.5 ,30.1 ,22.5 ,2522.3 ,1532.3 ,795.6 ,475.3 ,1322.2 
LR-SC,25.7 ,30.4 ,22.5 ,2569.9 ,1569.9 ,534.4 ,442.9 ,1300.0 ,24.9 ,29.7 ,21.6 ,2265.6 ,1354.3 ,496.5 ,445.1 ,1207.6 
LR-SC,25.3 ,30.3 ,22.1 ,2382.5 ,1442.5 ,417.3 ,546.4 ,1396.7 ,26.0 ,31.2 ,22.5 ,2413.6 ,1483.6 ,271.0 ,551.9 ,1427.1 
