Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
123,M-SWC,MSWC0123,2009,MSWC01,WS0291,20.06 ,26.12 ,16.00 ,3290.3,1650.3,563.6,798.8,2443.78,Fluvo-aquic soils,,30,25,178,6.9,210,135,210,8237
124,M-SWC,MSWC0124,2008,MSWC01,WS0291,19.39 ,25.27 ,15.61 ,3392.4,1642.8,1008.1,767.6,2444.39,Purplish soils,,31.5,10.6,180,7,225,150,240,10721
125,M-SWC,MSWC0125,2008,MSWC01,WS0291,19.36 ,25.23 ,15.60 ,3388.8,1639.2,992.6,762.8,2438.56,Purplish soils,,39.4,5.2,88,7,225,150,240,10007
126,M-SWC,MSWC0126,2009,MSWC01,WS0291,20.00 ,26.08 ,15.96 ,3579.6,1789.6,643.1,878.6,2645.57,Purplish soils,,63.4,49.9,214,7.1,210,135,210,9140
127,M-SWC,MSWC0127,2009,MSWC01,WS0291,20.01 ,26.11 ,15.97 ,3522.5,1762.5,613.6,862.9,2607.2,Purplish soils,,56.2,17.6,210,7.1,210,135,210,6083
128,M-SWC,MSWC0128,2008,MSWC01,WS0596,18.81 ,24.50 ,15.10 ,3009.7,1416.3,863.9,758.4,2352.04,Yellow earths,,33.6,16,96,8.2,225,150,240,8613
129,M-SWC,MSWC0129,2008,MSWC01,WS0596,19.50 ,25.18 ,15.80 ,3023.1,1473.1,908.3,751.9,2314.64,Yellow earths,,21.1,44,83,6.7,210,135,210,7087
130,M-SWC,MSWC0130,2008,MSWC01,WS0596,19.50 ,25.11 ,15.83 ,2963.3,1444.1,881.2,725.5,2254.18,Yellow earths,,20,43,86,6.8,180,120,180,6069
131,M-SWC,MSWC0131,2009,MSWC01,WS0596,19.05 ,24.07 ,15.80 ,3104.9,1495.3,771.8,748.6,2353.32,Yellow earths,,22.3,26.3,85,6.8,210,135,210,7704
132,M-SWC,MSWC0132,2009,MSWC01,WS0596,19.01 ,24.13 ,15.70 ,3232.1,1552.5,771.8,796,2472.23,Yellow earths,,12,6.6,55,5.2,210,135,210,6437
